# PRODUCER_ID = cron , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# PRODUCT_CREATION_TIME = Tue Feb  5 12:00:27 2013 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# SOFTWARE_NAME = CCOPS , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# SOFTWARE_VERSION_ID = 2.0 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DARK = CL1_398645602EDR_F0030004CCAM02013M1.DAT , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMUVMIN  FLOAT     =       6.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMVISMIN  FLOAT     =       6.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMVNIREND FLOAT     =       3.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# CONTINUUMVNIRMIN FLOAT     =       5.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DISTT =       2673.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DNOISEITER =       10.0000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# DNOISESIG  =       3.00000 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# NSHOTS =           30 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# MATCHEDFILTER =        2 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
# wave , shot1 , shot2 , shot3 , shot4 , shot5 , shot6 , shot7 , shot8 , shot9 , shot10 , shot11 , shot12 , shot13 , shot14 , shot15 , shot16 , shot17 , shot18 , shot19 , shot20 , shot21 , shot22 , shot23 , shot24 , shot25 , shot26 , shot27 , shot28 , shot29 , shot30 , median, mean
241.34801, 8.4237937e+11, 1.1225424e+12, 1.1626476e+12, 1.2258134e+12, 1.0431300e+12, 1.1877151e+12, 1.1523861e+12, 9.7181317e+11, 1.1192256e+12, 1.0756741e+12, 1.1217558e+12, 1.0790833e+12, 1.0634500e+12, 1.0910766e+12, 1.1123400e+12, 1.0676250e+12, 1.0674748e+12, 1.1433417e+12, 9.6651165e+11, 1.1134763e+12, 1.0684896e+12, 9.6915168e+11, 1.0896105e+12, 9.7855945e+11, 1.0178986e+12, 1.0360767e+12, 9.6073299e+11, 9.9287293e+11, 1.0996475e+12, 1.0520620e+12, 1.0909038e+12, 1.0575481e+12
241.40100, 1.0881873e+12, 1.4497286e+12, 1.4622741e+12, 1.6396311e+12, 1.3903985e+12, 1.5896110e+12, 1.4938318e+12, 1.3850966e+12, 1.4281327e+12, 1.4274830e+12, 1.4259673e+12, 1.4520389e+12, 1.4609858e+12, 1.3933294e+12, 1.4200575e+12, 1.3816680e+12, 1.3483288e+12, 1.4890220e+12, 1.3022733e+12, 1.4521718e+12, 1.4742978e+12, 1.2178981e+12, 1.3988091e+12, 1.3297864e+12, 1.3836878e+12, 1.4489258e+12, 1.3674713e+12, 1.2822380e+12, 1.4303687e+12, 1.3520070e+12, 1.4244183e+12, 1.3994228e+12
241.45599, 7.2954837e+11, 1.1448968e+12, 1.0375844e+12, 1.1125458e+12, 9.2355244e+11, 1.1558440e+12, 1.0045257e+12, 9.1870592e+11, 1.0117348e+12, 9.8413834e+11, 1.0064736e+12, 1.0500556e+12, 1.0728415e+12, 9.7387580e+11, 9.7286848e+11, 9.6966898e+11, 9.7444157e+11, 1.0410092e+12, 9.3947208e+11, 1.0044695e+12, 1.0149052e+12, 8.4030971e+11, 9.5029416e+11, 9.9403788e+11, 1.0190003e+12, 9.9058099e+11, 9.2124938e+11, 9.3478164e+11, 1.0148080e+12, 9.2060453e+11, 9.8403834e+11, 9.8091184e+11
241.50800, 2.5227481e+11, 3.6054546e+11, 3.0170946e+11, 3.4714231e+11, 2.7595312e+11, 3.0818694e+11, 3.5283678e+11, 3.0925177e+11, 3.2499673e+11, 2.9428359e+11, 3.0681112e+11, 2.5993141e+11, 3.2113001e+11, 2.6191642e+11, 2.7103492e+11, 2.8646827e+11, 3.0701630e+11, 3.3931962e+11, 2.5943830e+11, 2.9621844e+11, 3.0908098e+11, 2.4198020e+11, 2.5110824e+11, 3.4949776e+11, 2.5265561e+11, 2.6864631e+11, 2.2240480e+11, 2.7041279e+11, 2.7856016e+11, 3.0448935e+11, 2.8330093e+11, 2.8511335e+11
241.56200, 7.0555554e+10, 1.2146206e+11, 1.0957080e+11, 1.3739576e+11, 6.0301314e+10, 1.8204909e+11, 1.2208551e+11, 4.3047002e+10, 7.3294809e+10, 9.6243683e+10, 5.4283618e+10, 4.6394689e+10, 5.4416421e+10, 6.5674130e+10, 6.5145910e+10, 4.7826240e+10, 9.5467378e+10, 1.1519948e+11, 5.8796417e+10, 7.4791473e+10, 1.1482745e+11, 5.1222713e+10, 5.7632009e+10, 1.3693585e+11, 6.4147536e+10, 5.4310000e+10, 1.0621385e+10, 3.3356554e+10, 5.3251103e+10, 5.2324011e+10, 5.7040595e+10, 6.0970451e+10
241.61600, 7.1007993e+10, 1.3998071e+11, 1.1320006e+11, 6.7593395e+10, 8.7495625e+10, 1.0257776e+11, 1.5391075e+11, 5.2957051e+10, 9.3130875e+10, 5.8593132e+10, 8.5197512e+10, 3.9463356e+10, 6.4973162e+10, 8.2591276e+10, 5.4903845e+10, -1.1109444e+10, 1.0983332e+11, 7.2471691e+10, -1.3518943e+10, 2.4892049e+10, 1.4006663e+11, 7.6122695e+10, 7.1040785e+10, 9.0117524e+10, 5.3769353e+10, 2.9262904e+10, 2.2019602e+10, 7.2715618e+09, 3.2525551e+10, 4.9421190e+10, 4.0217107e+10, 3.2828135e+10
241.66901, 8.1720558e+10, 1.4278005e+11, 1.0722797e+11, 1.5832772e+11, 9.2182939e+10, 7.7772041e+10, 1.4775781e+11, 1.1849666e+11, 1.0287049e+11, 5.6271083e+10, 1.0148417e+11, 3.4620174e+10, 1.3571741e+11, 9.2115051e+10, 6.0940033e+10, 6.2579171e+10, 1.0103656e+11, 1.3102613e+11, 8.2719312e+10, 9.7223597e+10, 1.4479626e+11, 8.1393541e+10, 9.0037594e+10, 1.3536541e+11, 5.8703994e+10, 8.8908499e+10, 9.9333449e+10, 5.5468080e+10, 1.0308260e+11, 1.1200937e+11, 8.3979930e+10, 7.9533672e+10
241.72301, 1.2865101e+11, 2.0570586e+11, 1.6070724e+11, 2.3913793e+11, 1.4198631e+11, 2.1010935e+11, 2.0316807e+11, 1.7586656e+11, 1.7097493e+11, 1.2475954e+11, 1.7263256e+11, 1.6290345e+11, 2.0582464e+11, 1.2928804e+11, 1.2933019e+11, 9.0474457e+10, 1.5411249e+11, 1.9153977e+11, 1.4787981e+11, 1.2156116e+11, 1.6760693e+11, 1.3709291e+11, 1.5799049e+11, 1.7352290e+11, 1.3419794e+11, 1.4976750e+11, 1.4857258e+11, 1.0280112e+11, 1.6991449e+11, 1.6580396e+11, 1.4418441e+11, 1.4432005e+11
241.77699, 1.8894463e+11, 2.9491318e+11, 2.8382066e+11, 3.5398328e+11, 2.2379837e+11, 3.0643602e+11, 3.2324287e+11, 2.6265622e+11, 2.6639682e+11, 2.2731945e+11, 2.6213106e+11, 2.6249010e+11, 3.2265791e+11, 2.3506125e+11, 2.2920799e+11, 1.8477909e+11, 2.8051620e+11, 2.8854254e+11, 2.7516802e+11, 1.9639355e+11, 2.4950494e+11, 2.2662309e+11, 2.4634192e+11, 2.6907524e+11, 2.6951562e+11, 2.4601623e+11, 2.2172883e+11, 1.9117248e+11, 2.6850083e+11, 2.5494375e+11, 2.3113479e+11, 2.3562894e+11
241.83000, 2.1942457e+11, 3.9695546e+11, 4.2988004e+11, 4.7517860e+11, 3.3444525e+11, 4.1992157e+11, 4.3977900e+11, 3.5912774e+11, 3.7323413e+11, 3.5491260e+11, 3.7381484e+11, 3.8938288e+11, 4.1950386e+11, 4.5991076e+11, 3.6454519e+11, 3.9628422e+11, 4.2616847e+11, 3.9090600e+11, 4.1748688e+11, 4.2886053e+11, 4.4315931e+11, 3.3628648e+11, 3.6424938e+11, 3.7473779e+11, 3.9984597e+11, 3.6410088e+11, 3.3582058e+11, 3.2706417e+11, 3.7375311e+11, 3.8453673e+11, 4.0137397e+11, 3.9653657e+11
