point_id,stat,known,lat_y_North,long_X_East,ht,sigma0,sigma1,sigma2,res0,res1,res2
1,1,1,0.08538133869186999,2.38013146162178,-2697.2374469465,0.0,0.0,1.707214,16.348041000000002,-13.917623,-0.151001
2,1,1,0.08508542650082002,2.3808135855714703,-2702.0,0.0,0.0,1.0,15.983285999999998,-16.869508,0.103341
3,1,1,0.08626480095809,2.3870838392611,-2714.16003756809,0.0,0.0,3.828854,12.831839,-34.360639,-2.2058459999999998
4,1,1,0.08568717143105001,2.38669347579564,-2720.3873574332,0.0,0.0,2.06082,13.102864,-34.063651,0.334757
5,1,1,0.08077770259688,2.3838894311434102,-2692.00307359153,0.0,0.0,2.768034,15.876249,-23.172029000000002,-0.461974
6,1,1,0.08125893072767999,2.38445721412659,-2691.71435885471,0.0,0.0,1.707214,15.410701999999999,-25.944881,0.225806
7,1,1,0.07483240230363,2.3814261265746297,-2668.18002134863,0.0,0.0,1.353607,17.789075,-15.211119,0.087284
8,1,1,0.07443515640509,2.38212146862,-2664.7747769489906,0.0,0.0,1.353607,17.273365,-18.001185999999997,0.323137
9,1,1,0.07495055817805,2.3884619283655804,-2700.63760007568,0.0,0.0,1.707214,14.324904,-35.58345,-0.288152
10,1,1,0.07519371955078,2.38757259631679,-2694.18565786937,0.0,0.0,1.353607,14.771196,-33.010921,-0.08018600000000001
11,1,1,0.07010083277386,2.3849213916922003,-2668.62598527203,0.0,0.0,2.414427,15.933368,-22.780039000000002,-0.579354
12,1,1,0.06957324833251,2.3853276647149904,-2670.6045801106907,0.0,0.0,1.707214,15.773589999999999,-23.804103,-0.330565
13,1,1,0.06563711957712,2.3825780897637503,-2652.6543697460706,0.0,0.0,1.707214,16.419539,-15.919385,0.250239
14,1,1,0.0664454678652,2.38304264645782,-2658.85707321604,0.0,0.0,1.353607,16.313481,-17.239438,0.11514
15,1,1,0.06649272348884999,2.38951682947442,-2692.0,0.0,0.0,1.0,12.517966,-36.540841,-0.063341
16,1,1,0.06706972009678,2.38873585114457,-2692.0,0.0,0.0,1.0,13.078013,-34.602107000000004,0.027464999999999996
D18_034427_1842_XN_04N223W_28,1,0,0.06642563152224999,2.38304560848777,-2652.7379931980295,0.0,0.0,0.0,16.347926,-16.786457000000002,202.26425
D18_034427_1842_XN_04N223W_29,1,0,0.06701245416812,2.38319472448874,-2655.8936787285143,0.0,0.0,0.0,16.345939,-17.39285,202.351222
D18_034427_1842_XN_04N223W_30,1,0,0.06714286922356,2.38459540070318,-2666.2181217736006,0.0,0.0,0.0,15.56071,-21.543285,206.451357
D18_034427_1842_XN_04N223W_31,1,0,0.06699131624733,2.38537597452635,-2667.917382767097,0.0,0.0,0.0,15.129148999999998,-23.909211,208.666933
D18_034427_1842_XN_04N223W_32,1,0,0.0668897961665,2.38667024343657,-2676.4753153168867,0.0,0.0,0.0,14.271489,-27.786033000000003,212.56778599999998
D18_034427_1842_XN_04N223W_33,1,0,0.06725333266900001,2.3873695967267903,-2680.2541795701445,0.0,0.0,0.0,13.938915,-30.138825,214.17239500000002
D18_034427_1842_XN_04N223W_34,1,0,0.06734814823241,2.38802769571932,-2689.8761881734445,0.0,0.0,0.0,13.586741,-32.256271999999996,215.92250499999997
D18_034427_1842_XN_04N223W_37,1,0,0.06827861281198999,2.38281829913636,-2654.651058159914,0.0,0.0,0.0,16.734595000000002,-16.750685,200.728446
D18_034427_1842_XN_04N223W_38,1,0,0.06785042142429,2.38358220068826,-2655.152592163299,0.0,0.0,0.0,16.371177,-18.807863,203.084628
D18_034427_1842_XN_04N223W_39,1,0,0.06848531606765,2.3842691958979,-2665.4967618571454,0.0,0.0,0.0,16.028295,-21.041457,204.98470600000002
D18_034427_1842_XN_04N223W_40,1,0,0.06835459149418,2.38523660668123,-2670.27617625958,0.0,0.0,0.0,15.360716,-23.872982999999998,207.75411599999998
D18_034427_1842_XN_04N223W_41,1,0,0.06848765704014,2.3864536869340096,-2675.9421768906273,0.0,0.0,0.0,14.686125,-27.652577,211.133186
